# esp32-c6
wikisort, 11.296747967479556, 1.0000000000000104, 246.00000000000142, 1.0000000000000058
ud, 4.254255319148945, 1.0000000000000022, 939.9999999999931, 1.0000000000000073
statemate, 8.335416666666715, 1.0000000000000058, 480.0000000000034, 1.000000000000007
st, 92.72727272727361, 1.0000000000000095, 44.000000000000206, 1.0000000000000047
slre, 4.61449942462602, 1.0000000000000029, 869.000000000004, 1.0000000000000047
sglib-combined, 3.8991185112635, 1.0000000000000084, 1021.000000000009, 1.0000000000000089
qrduino, 4.035104364326383, 1.0000000000000018, 1053.9999999999993, 1.0000000000000007
picojpeg, 3.1882911392405315, 1.000000000000008, 1264.0000000000073, 1.0000000000000058
neetle-sha256, 5.734576757532328, 1.0000000000000082, 696.9999999999959, 1.0000000000000058
neetle-aes, 3.7105990783410494, 1.0000000000000095, 1084.9999999999911, 1.0000000000000082
minver, 16.728033472803276, 1.0000000000000042, 238.99999999999937, 1.0000000000000027
matmult-int, 2.3833732057416426, 1.0000000000000067, 1671.9999999999886, 1.0000000000000069
huffbench, 3.6950672645740177, 1.0000000000000073, 1114.99999999999, 1.0000000000000089
edn, 2.506250000000009, 1.0000000000000036, 1599.999999999987, 1.000000000000008
cubic, 7.173357664233538, 1.0000000000000056, 547.999999999998, 1.0000000000000038
crc32, 5.73676680972819, 1.000000000000001, 698.9999999999957, 1.0000000000000062
aha-mont64, 2.864091559370558, 1.0000000000000102, 1398.0000000000025, 1.0000000000000018
