# nrf52840dk
edn, 0.9103540387169035, 1.0003856002832667, 4404.879672585297, 1.0003856002832667
statemate, 5.4316407288694, 1.0006624732568903, 736.609838484812, 1.00066247325689
matmult-int, 0.8611841630005734, 1.0005191084051552, 4627.3493768339795, 1.000519108405155
crc32, 2.2139409617064922, 1.0005318816374473, 1811.2497439448996, 1.0005318816374473
ud, 1.6165087610286848, 1.0003151011088336, 2473.8498772225544, 1.0003151011088336
st, 26.319195310286293, 1.0009007300601338, 155.01993704212435, 1.0009007300601338
neetle-aes, 1.1563716385344025, 1.0004284090519444, 3481.5796806488347, 1.0004284090519444
sglib-combined, 1.3764656387054572, 1.0002796389078425, 2892.1898869513793, 1.0002796389078425
nsichneu, 4.372534362009385, 1.0002421222288944, 915.0299731804276, 1.0002421222288944
minver, 6.199315243946297, 1.0004441355545317, 644.9099364488897, 1.0004441355545317
cubic, 3.75690540624875, 1.0004527625781736, 1046.339892790937, 1.0004527625781736
picojpeg, 1.1619258060191864, 1.0003357626659015, 3468.3798045651065, 1.0003357626659015
neetle-sha256, 1.2696991873528718, 1.0004154384979371, 3147.9897284435992, 1.0004154384979371
aha-mont64, 1.837405574564123, 1.0006049433615574, 2179.1596016844887, 1.0006049433615574
wikisort, 4.088569415697866, 1.0006746316591457, 679.6998454594296, 1.0006746316591457
slre, 1.6449663101480532, 1.0002937083164953, 2437.739894891265, 1.0002937083164953
huffbench, 1.318041633485351, 1.0004622631086353, 3125.849666148496, 1.0004622631086353
qrduino, 1.8287441574562378, 1.0005143662742562, 2325.6396924958117, 1.0005143662742562
