# nrf52840dk
edn, 0.6485262844434865, 1.0002719908852504, 6183.249771350509, 1.0002719908852504
statemate, 4.3820647289032255, 1.0004359646084486, 913.0399132651391, 1.0004359646084486
matmult-int, 0.6258343515417454, 1.0003423505098892, 6367.499626990653, 1.0003423505098892
crc32, 1.5090449374510284, 1.000318050712672, 2657.3098656514658, 1.000318050712672
ud, 1.1663755775512514, 1.0003963381007763, 3428.569730854372, 1.0003963381007765
st, 19.33649289099541, 1.0000000000000078, 210.99999999999812, 1.0000000000000089
neetle-aes, 0.7864971558657005, 1.0003803891374359, 5118.899629800378, 1.0003803891374359
sglib-combined, 0.9993776520042166, 1.0006685764272887, 3983.4791102404974, 1.0006685764272887
nsichneu, 3.129155172107818, 1.000439444298925, 1278.6198765927368, 1.000439444298925
minver, 3.922223144407111, 1.0004980094278726, 1019.3198736540484, 1.0004980094278726
cubic, 2.8396821402216927, 1.0004418437425615, 1384.3098649390065, 1.0004418437425615
picojpeg, 0.817805908612575, 1.0003939222614342, 4927.8196177831305, 1.0003939222614344
neetle-sha256, 0.9144800414350898, 1.0003320713540318, 4370.789759093636, 1.0003320713540318
aha-mont64, 1.4343235459812995, 1.000344873764811, 2791.559834054476, 1.000344873764811
wikisort, 2.9897477531554717, 1.000559046198389, 929.5098548253683, 1.0005590461983893
slre, 1.2265323243280706, 1.0003535294599293, 3269.379795756103, 1.0003535294599293
huffbench, 0.9511651289205845, 1.000375841933379, 4331.529694192546, 1.000375841933379
qrduino, 1.2602677031345668, 1.0003161011566568, 3374.6798314531443, 1.0003161011566568
